nombre_evento,url_evento,codigo_postal,direccion,horario,organizacion,fecha_inicio,fecha_fin,hora_fecha_inicio,hora_fecha_fin
Coloquios Martín-Santos // Luis y Rocío Martín-Santos Laffón + Fernando Doménech,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa63bdb542ba3910VgnVCM1000001d4a900aRCRD,28012,CALLE PRINCIPE 25,18:00,Teatro Español,2025-05-07,2025-05-07,18:00:00.0,23:59:00.0
Colorful breakfast: hablar inglés nunca fue tan fácil y divertido,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4b4eff83e819c810VgnVCM1000001d4a900aRCRD,28016,CALLE ENRIQUE JARDIEL PONCELA 8,10:15,Espacio de Igualdad Nieves Torres. Chamartín,2025-02-24,2025-02-24,10:15:00.0,23:59:00.0
"Comics, La Conquista Del Rock",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c0c09d2436405910VgnVCM2000001f4a900aRCRD,28031,CALLE MANUEL VELEZ 10,18:30,Centro Sociocultural Francisco Fatou (Villa de Vallecas),2025-03-07,2025-03-07,18:30:00.0,23:59:00.0
Cómo aprender a utilizar el móvil,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=81d71dd9bc7a4910VgnVCM1000001d4a900aRCRD,28041,AVENIDA SAN FERMIN 10,17:00,Biblioteca Pública Municipal San Fermín (Usera),2025-02-04,2025-02-25,17:00:00.0,23:59:00.0
Cómo diseñar un currículum más atractivo para llegar a una entrevista: El uso de Canva,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8a090112a0cb4910VgnVCM2000001f4a900aRCRD,28027,AVENIDA BADAJOZ 60,10:00,Espacio de Igualdad Emilia Pardo Bazán. Ciudad Lineal,2025-02-27,2025-02-27,10:00:00.0,23:59:00.0
"Como hace 3000 años, con Héctor Alterio - Vicalvaro",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2fbc727228cb4910VgnVCM1000001d4a900aRCRD,28032,BULEVAR INDALECIO PRIETO 21,19:00,Centro Cultural Valdebernardo (Vicálvaro),2025-04-11,2025-04-11,19:00:00.0,23:59:00.0
Con todos los honores,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=17509cf356325910VgnVCM1000001d4a900aRCRD,28023,TRAVESIA CA&amp;Ntilde;O 5,19:00,Centro Cultural Juan Genovés (Moncloa - Aravaca),2025-03-16,2025-03-16,19:00:00.0,23:59:00.0
Con zarzuela y recitando,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=235ab8d9a2825910VgnVCM1000001d4a900aRCRD,28017,CALLE SANTA FELICIDAD 39,19:00,Centro Cultural la Elipa (Ciudad Lineal),2025-03-22,2025-03-22,19:00:00.0,23:59:00.0
Concentración mensual en conmemoración por las víctimas mortales de violencia machista,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0cda9961f52b4910VgnVCM2000001f4a900aRCRD,28015,CALLE ANDRES MELLADO 44,11:30,Espacio de Igualdad María Zambrano. Chamberí,2025-02-25,2025-02-25,11:30:00.0,23:59:00.0
Concierto Asociación ASISPA,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1b52c08889415910VgnVCM2000001f4a900aRCRD,28037,CALLE SAN ROMAN DEL VALLE 8,19:00,Centro Cultural Antonio Machado (San Blas - Canillejas),2025-03-21,2025-03-21,19:00:00.0,23:59:00.0
Concierto conmemorativo 488º aniversario de la Infantería de Marina,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bbd4d15c0bfe4910VgnVCM2000001f4a900aRCRD,28050,CALLE PRINCESA DE EBOLI 29,19:30,Centro Cultural Sanchinarro (Hortaleza),2025-02-26,2025-02-26,19:30:00.0,23:59:00.0
Concierto de Invierno,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ff5b070f747a4910VgnVCM2000001f4a900aRCRD,28035,CALLE ISLA DE ONS 14,18:30,Centro Sociocultural Rafael de León (Fuencarral - El Pardo),2025-02-27,2025-02-27,18:30:00.0,23:59:00.0
Concierto de la BANDA SINFÓNICA DE LA RED DE ESCUELAS MUNICIPALES DE MÚSICA DEL AYUNTAMIENTO DE MADRID,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=35d9cc735a363910VgnVCM1000001d4a900aRCRD,28049,Carretera M-607 Km 13 L-10 ,19:00,Centro Sociocultural Montecarmelo (Fuencarral - El Pardo),2025-02-28,2025-02-28,19:00:00.0,23:59:00.0
Concierto de Moisés P. Sánchez - Latina,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa3b8dca45bb4910VgnVCM1000001d4a900aRCRD,,,20:00,,2025-11-08,2025-11-08,20:00:00.0,23:59:00.0
"Concierto de swing, bossa nova, baladas y blues: 'DÚO CONSTANZA &amp; FREDI DE GUITARRA Y VOZ'",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2717f84b6b7a4910VgnVCM2000001f4a900aRCRD,28029,CALLE ARZOBISPO MORCILLO 7,19:00,Centro Sociocultural Valle Inclán (Fuencarral - El Pardo),2025-02-28,2025-02-28,19:00:00.0,23:59:00.0
Concierto DeivyDeivid con su banda + Rafa (Hombres G),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb3fc109a5305910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 14,12:00,Casa del Lector,2025-03-16,2025-03-16,12:00:00.0,23:59:00.0
Concierto Ensemble Modo Menor,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7a26380b5b725910VgnVCM1000001d4a900aRCRD,28015,CALLE CONDE DUQUE 9,19:00,Museo de Arte Contemporáneo de Madrid,2025-02-27,2025-02-27,19:00:00.0,23:59:00.0
Concierto Extraordinario 50 Aniversario del Día de la Mujer: `Entre Divas´,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b29a9c4490405910VgnVCM1000001d4a900aRCRD,28041,CALLE LOS BOHEMIOS 1,12:00,Centro Sociocultural Bohemios (Villaverde),2025-03-09,2025-03-09,12:00:00.0,23:59:00.0
Concierto por un nuevo mundo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb9eb249a0915910VgnVCM2000001f4a900aRCRD,28037,CALLE SAN ROMAN DEL VALLE 8,19:00,Centro Cultural Antonio Machado (San Blas - Canillejas),2025-03-30,2025-03-30,19:00:00.0,23:59:00.0
Concierto primavera Celeste 21,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e8a590d1de815910VgnVCM2000001f4a900aRCRD,28037,CALLE SAN ROMAN DEL VALLE 8,19:00,Centro Cultural Antonio Machado (San Blas - Canillejas),2025-03-22,2025-03-22,19:00:00.0,23:59:00.0
Concierto primavera. Retiro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=019977dee57a4910VgnVCM1000001d4a900aRCRD,28009,PASEO COLOMBIA 1,12:00,Centro Cultural Casa de Vacas (Retiro),2025-03-23,2025-03-23,12:00:00.0,23:59:00.0
Concierto: 'ESPÍRITU DE CARNAVAL',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7a1e692abe6a4910VgnVCM2000001f4a900aRCRD,28048,CALLE MIRA EL RIO 4,18:30,Centro Sociocultural Alfonso XII (Fuencarral - El Pardo),2025-02-28,2025-02-28,18:30:00.0,23:59:00.0
Concurso de disfraces,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc29318cb1405910VgnVCM2000001f4a900aRCRD,,,11:30,,2025-03-02,2025-03-02,11:30:00.0,23:59:00.0
Concurso de Disfraces y Baile con Orquesta,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3af2292bc8325910VgnVCM2000001f4a900aRCRD,28041,CALLE ARAMA 1,21:30,Centro Municipal de Mayores Nuestra Señora de los Ángeles,2025-03-01,2025-03-01,21:30:00.0,23:59:00.0
Concurso de Disfraces y Baile con Orquesta,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=41f2ce6eb6ef4910VgnVCM1000001d4a900aRCRD,28021,CALLE CONCEPCION DE LA OLIVA 1,21:30,Centro Municipal de Mayores La Platanera,2025-03-01,2025-03-01,21:30:00.0,23:59:00.0
Concurso de máscaras y antifaces de carnaval,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=426337a0a2af4910VgnVCM2000001f4a900aRCRD,28022,CALLE BOLTAÑA 23,18:00,Biblioteca Pública Municipal Canillejas (San Blas-Canillejas),2025-03-04,2025-03-04,18:00:00.0,23:59:00.0
Condenada belleza del mundo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3cfe2fc6e6c1910VgnVCM1000001d4a900aRCRD,28012,CALLE PRINCIPE 25,18:30,Teatro Español,2025-05-15,2025-05-25,18:30:00.0,23:59:00.0
Conecta contigo a través del yoga [Mujeres Compartiendo Sabiduría],http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d60a920c056d1910VgnVCM1000001d4a900aRCRD,28015,CALLE ANDRES MELLADO 44,13:00,Espacio de Igualdad María Zambrano. Chamberí,2025-02-05,2025-02-26,13:00:00.0,23:59:00.0
Conectores de la luz,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fae4ebbe36624910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Matadero Madrid,2025-01-18,2025-03-23,00:00:00.0,23:59:00.0
Conferencia de Eurídice Cabañes + eXistenZ,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ecd4b6a7be294910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Cineteca Madrid,2025-02-28,2025-02-28,00:00:00.0,23:59:00.0
Conferencia escénica,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8c139f45bf9e1910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 14,19:30,Nave 10 Matadero. Creación Dramática Contemporánea,2025-05-13,2025-05-13,19:30:00.0,23:59:00.0
Conferencia: La evolución histórica del Museo de Historia de Madrid (1929-2007),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=321166c5a1915910VgnVCM2000001f4a900aRCRD,28004,CALLE FUENCARRAL 78,18:30,Museo de Historia de Madrid,2025-02-27,2025-02-27,18:30:00.0,23:59:00.0
Conferencia: Paul Gauguin,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3fe707e5ce541610VgnVCM1000001d4a900aRCRD,28002,CALLE MANTUANO 51,19:00,Centro Cultural Nicolás Salmerón (Chamartín),2025-02-24,2025-02-24,19:00:00.0,23:59:00.0
Conferencia: Postimpresionismo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f8ed88b854d84910VgnVCM1000001d4a900aRCRD,28030,AVENIDA MORATALAZ 130,18:30,Centro Cultural el Torito (Moratalaz),2025-02-26,2025-02-26,18:30:00.0,23:59:00.0
Conferencia: 'IMAGEN DE LA MUJER EN LA PREHISTORIA',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=98db070f747a4910VgnVCM2000001f4a900aRCRD,28035,CALLE ISLA DE ONS 14,19:00,Centro Sociocultural Rafael de León (Fuencarral - El Pardo),2025-02-25,2025-02-25,19:00:00.0,23:59:00.0
Conoce las aplicaciones de Google.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8d499f19627b4910VgnVCM2000001f4a900aRCRD,28021,CALLE MARIA MARTINEZ OVIOL 12,17:00,Espacio de Igualdad Clara Campoamor. Villaverde,2025-02-24,2025-02-24,17:00:00.0,23:59:00.0
Conoce las aplicaciones de Google. Madrid Aula Digital,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=edbba2c1cb315910VgnVCM1000001d4a900aRCRD,28028,AVENIDA TOREROS 5,10:00,Biblioteca Pública Municipal David Gistau (Salamanca),2025-03-06,2025-03-07,10:00:00.0,23:59:00.0
Conoce los secretos de tu móvil. Madrid Aula Digital,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0893f7cdf1ef4910VgnVCM2000001f4a900aRCRD,28024,CALLE GRANJA DE TORREHERMOSA 1,10:00,Biblioteca Pública Municipal Ángel González (Latina),2025-04-07,2025-04-09,10:00:00.0,23:59:00.0
Conoce tu móvil,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=139738dd54af4910VgnVCM2000001f4a900aRCRD,28024,CALLE GRANJA DE TORREHERMOSA 1,10:00,Biblioteca Pública Municipal Ángel González (Latina),2025-02-24,2025-02-26,10:00:00.0,23:59:00.0
Conoce y organiza tus documentos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e2d6b4e35c6b4910VgnVCM2000001f4a900aRCRD,28027,AVENIDA BADAJOZ 60,10:00,Espacio de Igualdad Emilia Pardo Bazán. Ciudad Lineal,2025-02-11,2025-02-25,10:00:00.0,23:59:00.0
Construimos herramientas para el empoderamiento,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d48ab1ed8d964910VgnVCM2000001f4a900aRCRD,28022,PLAZA EURIPIDES 1,18:15,Espacio de Igualdad Lucía Sánchez Saornil. San Blas-Canillejas,2025-01-08,2025-03-26,18:15:00.0,23:59:00.0
Conversaciones con un maltratador,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c06577dee57a4910VgnVCM1000001d4a900aRCRD,28009,PASEO COLOMBIA 1,18:30,Centro Cultural Casa de Vacas (Retiro),2025-03-14,2025-03-14,18:30:00.0,23:59:00.0
Coro Brisa de Colores,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef8fa8c219315910VgnVCM2000001f4a900aRCRD,28022,CALLE BOLTAÑA 27,19:00,Centro Cultural Buero Vallejo (San Blas - Canillejas),2025-03-14,2025-03-14,19:00:00.0,23:59:00.0
Coro de Adultos y Agrupación de guitarras de  la Escuela Municipal de Música Antonio  Machado,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=31d0a8c219315910VgnVCM2000001f4a900aRCRD,28022,CALLE BOLTAÑA 27,19:30,Centro Cultural Buero Vallejo (San Blas - Canillejas),2025-03-27,2025-03-27,19:30:00.0,23:59:00.0
Coro Yelena Lafargue,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e8ec2c84ecd15910VgnVCM2000001f4a900aRCRD,28022,CALLE FEBRERO 4,12:00,Centro Cultural José Luis López Vázquez (San Blas - Canillejas),2025-03-02,2025-03-02,12:00:00.0,23:59:00.0
Coro Yerena Lafargue,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7a8bc1e9c12b4910VgnVCM1000001d4a900aRCRD,28043,CALLE SAN NEMESIO 4,19:00,Centro Cultural San Juan Bautista (Ciudad Lineal),2025-02-28,2025-02-28,19:00:00.0,23:59:00.0
Correr por Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=712a8daaa32d4710VgnVCM1000001d4a900aRCRD,,,00:00,,2024-09-01,2025-06-30,00:00:00.0,23:59:00.0
Coser y cantar,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d15291bed4ff4910VgnVCM1000001d4a900aRCRD,28007,CALLE LUIS PEIDRO 2,12:00,Centro Cultural Las Californias (Retiro),2025-03-29,2025-03-29,12:00:00.0,23:59:00.0
Crea tu oportunidad con las autocandidaturas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=af9bc406a51b4910VgnVCM2000001f4a900aRCRD,28019,CALLE COMANDANTE FONTANES 8,12:00,Espacio de Igualdad Lourdes Hernández. Carabanchel,2025-02-24,2025-02-24,12:00:00.0,23:59:00.0
Crea tu propio juego 'Memory',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=28b73a2853325910VgnVCM2000001f4a900aRCRD,28026,CALLE DOCTOR TOLOSA LATOUR 16,16:30,Centro de Educación Ambiental y Cultural Maris Stella (Usera),2025-03-08,2025-03-08,16:30:00.0,23:59:00.0
Creación colectiva de toldos con materiales reciclados,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d358401d45d4910VgnVCM1000001d4a900aRCRD,28029,PLAZA DONOSO 5,11:00,Biblioteca Pública Municipal María Zambrano (Tetuán),2025-03-21,2025-03-21,11:00:00.0,23:59:00.0
Creadoras. Taller de arte en Espacio de Igualdad Hermanas Mirabal,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b638149747ea2910VgnVCM1000001d4a900aRCRD,28039,CALLE BRAVO MURILLO 133,18:00,Espacio de Igualdad Hermanas Mirabal. Tetuán,2025-01-08,2025-02-26,18:00:00.0,23:59:00.0
Creciendo juntas II,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9f2cf90719423910VgnVCM2000001f4a900aRCRD,28015,CALLE ANDRES MELLADO 44,11:00,Espacio de Igualdad María Zambrano. Chamberí,2025-02-03,2025-02-24,11:00:00.0,23:59:00.0
Crispina y Molinilla. Aventuras en concierto,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ed102816df225910VgnVCM2000001f4a900aRCRD,28020,CALLE BRAVO MURILLO 251,18:00,Centro Sociocultural Tetuán,2025-03-28,2025-03-28,18:00:00.0,23:59:00.0
Cuatro historias de alquiler,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3171a8c219315910VgnVCM2000001f4a900aRCRD,28022,CALLE BOLTAÑA 27,19:00,Centro Cultural Buero Vallejo (San Blas - Canillejas),2025-03-01,2025-03-01,19:00:00.0,23:59:00.0
Cuentacuentos compasivos: 'El mapa de los buenos momentos' de Zuzzana Celej,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d016ed4702c1910VgnVCM1000001d4a900aRCRD,28005,CALLE SAN JUSTO 5,17:30,Biblioteca Pública Municipal Iván de Vargas (Centro),2025-03-05,2025-03-05,17:30:00.0,23:59:00.0
Cuentacuentos compasivos: 'El Pajarillo en la ventana' de Lubna Ruth,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=62f06ed4702c1910VgnVCM1000001d4a900aRCRD,28005,CALLE SAN JUSTO 5,17:30,Biblioteca Pública Municipal Iván de Vargas (Centro),2025-04-02,2025-04-02,17:30:00.0,23:59:00.0
Cuentacuentos con Óscar Ayerra,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=43cbc56fdb5f4910VgnVCM2000001f4a900aRCRD,28047,CALLE CAMARENA 10,,Biblioteca Pública Municipal Aluche (Latina),2025-02-25,2025-02-25,00:00:00.0,23:59:00.0
Cuento de un Viajero,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e36d2c84ecd15910VgnVCM2000001f4a900aRCRD,28022,CALLE FEBRERO 4,15:00,Centro Cultural José Luis López Vázquez (San Blas - Canillejas),2025-03-15,2025-03-15,15:00:00.0,23:59:00.0
Cuerpo en movimiento. Ejercicios de movilidad en silla,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3e949cadb4bd4910VgnVCM2000001f4a900aRCRD,28022,PLAZA EURIPIDES 1,18:30,Espacio de Igualdad Lucía Sánchez Saornil. San Blas-Canillejas,2025-02-24,2025-02-24,18:30:00.0,23:59:00.0
Cuidado con los bulos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=80c9f7cdf1ef4910VgnVCM2000001f4a900aRCRD,28024,CALLE GRANJA DE TORREHERMOSA 1,10:00,Biblioteca Pública Municipal Ángel González (Latina),2025-03-03,2025-03-05,10:00:00.0,23:59:00.0
Cumpleaños,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ecfee2fc6e6c1910VgnVCM1000001d4a900aRCRD,28012,CALLE PRINCIPE 25,18:30,Teatro Español,2025-02-27,2025-03-09,18:30:00.0,23:59:00.0
Curso gratuito de escritura creativa para futuras escritoras y escritores,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1feda86ea2374910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 14,,Casa del Lector,2025-02-04,2025-02-25,00:00:00.0,23:59:00.0
Curso sobre la historia del Barrio del Pilar,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c826b7021b7b1910VgnVCM2000001f4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,11:30,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),2024-10-14,2025-04-28,11:30:00.0,23:59:00.0
Cursos Trimestrales,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=16baf3687f7a4910VgnVCM2000001f4a900aRCRD,28029,CALLE ARZOBISPO MORCILLO 7,,Centro Sociocultural Valle Inclán (Fuencarral - El Pardo),2025-02-04,2025-02-26,00:00:00.0,23:59:00.0
Damas de Bolero - Irene Martin y Alfred  Hervais,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ab31c08889415910VgnVCM2000001f4a900aRCRD,28037,CALLE SAN ROMAN DEL VALLE 8,19:00,Centro Cultural Antonio Machado (San Blas - Canillejas),2025-03-07,2025-03-07,19:00:00.0,23:59:00.0
Danzando juntas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=25e6bbe3111c1910VgnVCM1000001d4a900aRCRD,28027,AVENIDA BADAJOZ 60,17:00,Espacio de Igualdad Emilia Pardo Bazán. Ciudad Lineal,2025-02-28,2025-02-28,17:00:00.0,23:59:00.0
Danzar la vida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=951d22a1f7603910VgnVCM2000001f4a900aRCRD,28043,CALLE MATAPOZUELOS 2,18:00,Espacio de Igualdad Carme Chacón. Hortaleza,2025-02-27,2025-02-27,18:00:00.0,23:59:00.0
Danza: A cargo de la Asociación Charra en Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=62ff6524d3ca4910VgnVCM1000001d4a900aRCRD,28039,CALLE ALMANSA 9,19:00,Centro Sociocultural José de Espronceda (Tetuán),2025-02-28,2025-02-28,19:00:00.0,23:59:00.0
De Agatha Christie hasta la actualidad,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=697bc08889415910VgnVCM2000001f4a900aRCRD,,,19:00,Centro Cultural Zazuar (Villa de Vallecas),2025-03-12,2025-03-12,19:00:00.0,23:59:00.0
De Casa de Campo a Madrid Río I,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f213099c7c2d8810VgnVCM2000001f4a900aRCRD,28011,PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO) ,11:00,Centro de Información y Educación Ambiental de Casa de Campo,2025-03-01,2025-03-01,11:00:00.0,23:59:00.0
DE MADRID AL HUERTO: (HUERTO URBANO),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6982b2de9aa7e810VgnVCM1000001d4a900aRCRD,28049,Carretera M-607 Km 13 L-10 ,10:00,Centro de Interpretación de la Naturaleza Montecarmelo (Fuencarral - El Pardo),2025-02-04,2025-02-25,10:00:00.0,23:59:00.0
